name,credits,prereqs,coursenum,offeredin,description,department
"Exercise Science Seminar and Keystone",4,null,HPE490,null,"This course will provide the student with the pinnacle component of the Exercise Science degree plan. The keystone willprovide an understanding of human responses to exercise and its relevance to a diverse and challenging world, as wellas help develop a basis for research as this relates to the major.",
Topics,4,null,HPE495,null,,
"Independent Study",4,null,HPE499,null,,
"Medieval Life in 12th-Century Europe",4,null,HUM120,null,"This is the introductory course for medieval studies. It uses an interdisciplinary approach to study European cultureduring a period known as the High Middle Ages, roughly AD 1100 to 1300. It attempts to examine medieval culture as acomplex system of thought and feeling, which includes history, religion, philosophy, literature, art, theatre, music, andfood. It also takes an experiential approach to this material, for example, by having students and faculty attend class inacademic regalia, just as they did in medieval universities.",
Topics,4,null,HUM195,null,,
Internship,2,null,HUM397,null,,
"Keystone: Medieval Studies Project",4,null,HUM490,null,"The final project in medieval studies functions like an independent study. Because medieval studies is aninterdisciplinary major, the final project must be also be interdisciplinary. Students are free to choose any topicconnected to the Middle Ages, but must examine it with professors from at least three different disciplines. Thetraditional disciplines that comprise medieval studies are art history, English, history, music history, philosophy, religion,and theater history, but students have also completed projects involving professors from other disciplines, such associology and psychology. Experiential approaches are encouraged but not required. For example, past students havebuilt medieval musical instruments, medieval suits of armor, and Renaissance commedia dellï¿½arte masks, and thenwritten about the process.",
"Independent Study",4,null,HUM499,null,,
Internship,2,null,INS198,null,,
Internship,4,null,INS199,null,,
"The Nobel Laureates: Religious and Political Perspectives",4,null,INS222,null,"Through studying the lives of prominent peacemakers and the opportunity provided to us by the Nobel Peace PrizeForum, this course examines peacemaking in the 21st century, utilizing both the lenses of political science and religion.Prerequistes: REL 100 or 300 (or can be taken concurrently).",
"Introduction to Islam",4,null,INS225,null,"The course covers the ideological foundations of Islam, its basic concepts and tenets, Islamic law (Shariï¿½ah), Islamiceconomic and political systems, and Islamic patterns of life.",
"African-American Experience in America",4,null,INS232,null,"An overview of the major issues related to the African American experience, focusing on historical, sociological,economic, legal, and psychological aspects of that experience.",
"Women: A Cross Cultural Perspective",4,null,INS233,null,,
